
Image Name                     PID Session Name        Session#    Mem Usage
fontdrvhost.exe               6488 Console                    4      7,556 K
dwm.exe                       8224 Console                    4     72,816 K
uihost.exe                    8504 Console                    4     15,888 K
SynTPEnh.exe                  3524 Console                    4      6,892 K
sihost.exe                    5368 Console                    4     20,272 K
svchost.exe                   1148 Console                    4     14,900 K
svchost.exe                   7940 Console                    4     26,776 K
igfxEM.exe                   10020 Console                    4      5,492 K
taskhostw.exe                11200 Console                    4     10,020 K
MicTray64.exe                 8376 Console                    4      4,616 K
ctfmon.exe                    8084 Console                    4     12,092 K
explorer.exe                 12592 Console                    4    126,716 K
svchost.exe                   7696 Services                   0      2,968 K
svchost.exe                  12032 Console                    4     18,788 K
RuntimeBroker.exe             7300 Console                    4     33,776 K
StartMenuExperienceHost.e     7680 Console                    4     52,432 K
RuntimeBroker.exe             7164 Console                    4     14,676 K
SecurityHealthSystray.exe     2460 Console                    4      8,132 K
RtkAudUService64.exe          1068 Console                    4      2,000 K
ProtonVPN.Client.exe         13560 Console                    4    203,992 K
ProtonDrive.exe              13836 Console                    4     34,576 K
ProtonVPNService.exe          8372 Services                   0     44,792 K
WebViewHost.exe                696 Console                    4     20,148 K
RuntimeBroker.exe            11968 Console                    4      2,396 K
msedgewebview2.exe            4728 Console                    4     17,484 K
msedgewebview2.exe            2572 Console                    4      5,164 K
msedgewebview2.exe            7664 Console                    4      7,964 K
msedgewebview2.exe            5292 Console                    4      9,920 K
msedgewebview2.exe           11584 Console                    4      5,220 K
msedgewebview2.exe            7572 Console                    4      5,580 K
ShellExperienceHost.exe       1064 Console                    4     42,168 K
RuntimeBroker.exe             6944 Console                    4     25,008 K
svchost.exe                  10644 Console                    4      3,132 K
UserOOBEBroker.exe             420 Console                    4      4,024 K
svchost.exe                   9768 Console                    4      3,284 K
SystemSettingsBroker.exe      9552 Console                    4     13,256 K
TextInputHost.exe             4164 Console                    4     12,124 K
ApplicationFrameHost.exe      6784 Console                    4     18,160 K
dllhost.exe                  10996 Console                    4      8,764 K
svchost.exe                   3092 Services                   0      3,608 K
CompPkgSrv.exe               10660 Console                    4      3,652 K
dllhost.exe                   1996 Console                    4     12,408 K
RuntimeBroker.exe            14312 Console                    4     24,140 K
svchost.exe                  15720 Console                    4     10,940 K
wlanext.exe                  14332 Services                   0      6,288 K
conhost.exe                  15960 Services                   0      5,560 K
SearchApp.exe                 9628 Console                    4     54,816 K
LockApp.exe                  10636 Console                    4     31,436 K
RuntimeBroker.exe             7172 Console                    4     37,820 K
svchost.exe                  20604 Console                    4     12,912 K
taskhostw.exe                12672 Console                    4     19,836 K
msedge.exe                   17836 Console                    4    106,676 K
msedge.exe                    4224 Console                    4     10,176 K
msedge.exe                    6224 Console                    4     96,096 K
msedge.exe                   12964 Console                    4     44,960 K
msedge.exe                    2304 Console                    4     21,108 K
NisSrv.exe                   18144 Services                   0     11,840 K
Code.exe                      5460 Console                    4    102,056 K
Code.exe                     20452 Console                    4     30,568 K
Code.exe                     17496 Console                    4    170,696 K
Code.exe                     21468 Console                    4     30,072 K
Code.exe                     13588 Console                    4    152,128 K
Code.exe                     11692 Console                    4     57,064 K
Code.exe                     10128 Console                    4     41,500 K
Code.exe                      1400 Console                    4     37,416 K
chrome.exe                   15124 Console                    4    188,964 K
chrome.exe                    2620 Console                    4      8,664 K
chrome.exe                   10392 Console                    4    146,916 K
chrome.exe                    2400 Console                    4     52,784 K
chrome.exe                   16760 Console                    4     19,628 K
chrome.exe                   15548 Console                    4     47,344 K
svchost.exe                  19316 Services                   0      6,252 K
chrome.exe                   15996 Console                    4     22,244 K
chrome.exe                   15604 Console                    4     34,568 K
chrome.exe                    4676 Console                    4     85,744 K
Code.exe                      7412 Console                    4    310,132 K
Code.exe                     15404 Console                    4     42,408 K
Code.exe                      3312 Console                    4    355,116 K
Code.exe                     20940 Console                    4     64,772 K
conhost.exe                  13576 Console                    4      6,668 K
powershell.exe               20636 Console                    4     52,108 K
rust-analyzer.exe            19940 Console                    4    294,048 K
conhost.exe                  10436 Console                    4      5,900 K
rust-analyzer-proc-macro-     4572 Console                    4     23,688 K
msedge.exe                   20136 Console                    4     20,252 K
msedge.exe                   15092 Console                    4     35,976 K
msedge.exe                   18640 Console                    4    143,372 K
msedge.exe                    1600 Console                    4     27,584 K
msedge.exe                   14636 Console                    4     26,872 K
Code.exe                     18136 Console                    4    212,652 K
Code.exe                      2500 Console                    4     42,108 K
Code.exe                      4324 Console                    4     91,388 K
conhost.exe                   3648 Console                    4      6,500 K
powershell.exe                7308 Console                    4     53,216 K
msedge.exe                   19256 Console                    4     10,840 K
WUDFHost.exe                 15540 Services                   0      8,772 K
chrome.exe                    9388 Console                    4     70,152 K
svchost.exe                   4480 Services                   0      5,604 K
taskhostw.exe                16932 Console                    4     11,704 K
HPAudioAnalytics.exe         20208 Services                   0     11,632 K
chrome.exe                   15656 Console                    4    186,096 K
chrome.exe                    9152 Console                    4     35,356 K
vctip.exe                     1672 Console                    4     42,632 K
chrome.exe                   17244 Console                    4     81,712 K
chrome.exe                   15480 Console                    4    254,332 K
chrome.exe                   19020 Console                    4     69,716 K
chrome.exe                   19920 Console                    4     61,812 K
chrome.exe                    3856 Console                    4    228,256 K
chrome.exe                   16652 Console                    4    222,248 K
